employee_id,score_q1,score_q2,score_q3,score_q4
1,56.9,96.9,66.7,86.6
2,73.6,61.1,74.2,97.1
3,73.8,51.7,53.9,99.3
4,86.8,94.2,88.1,79.5
5,62.0,50.7,99.0,80.2
6,64.1,61.9,87.8,77.6
7,64.2,96.8,66.7,83.6
8,59.0,93.7,51.3,77.3
9,87.3,83.9,98.9,55.8
10,78.5,55.5,97.3,91.5
11,84.8,72.0,51.1,74.1
12,98.0,93.0,92.8,56.3
13,52.1,70.3,78.1,63.8
14,74.8,86.4,92.9,62.5
15,50.3,72.3,80.3,51.2
16,89.3,86.8,50.9,62.5
17,59.8,74.3,96.3,52.5
18,86.7,85.0,55.0,88.9
19,61.7,60.1,57.4,59.7
20,97.2,92.2,86.5,97.8
21,97.5,80.1,82.3,61.0
22,59.8,78.2,55.3,58.6
23,78.4,91.4,83.0,89.1
24,52.8,68.8,87.0,75.6
25,65.6,98.5,58.4,70.1
26,77.1,74.2,57.0,85.6
27,58.9,77.7,85.7,87.1
28,76.1,64.4,72.8,76.1
29,60.3,88.7,81.2,75.6
30,86.8,89.8,74.3,70.4
31,70.5,99.4,55.2,81.7
32,65.2,54.5,80.8,57.5
33,68.1,61.1,83.3,88.6
34,60.7,53.6,97.9,60.7
35,74.2,65.2,79.9,87.6
36,70.9,90.2,67.9,90.9
37,91.8,81.8,58.0,81.5
38,99.6,73.1,79.1,87.5
39,95.2,65.7,62.7,69.0
40,50.6,82.8,79.0,97.1
41,92.3,79.0,62.7,65.9
42,53.1,69.2,97.5,90.5
43,80.5,76.2,54.0,66.2
44,66.5,59.0,51.0,93.7
45,75.7,92.5,77.9,80.4
46,94.6,69.5,59.8,76.9
47,78.8,90.1,85.7,87.6
48,52.9,70.2,55.6,77.3
49,63.9,73.4,94.4,50.9
50,84.2,78.5,96.5,61.4
51,59.8,61.6,79.3,93.3
52,82.8,53.0,64.1,91.4
53,96.3,94.3,96.4,77.6
54,69.2,55.6,92.2,73.1
55,81.6,81.3,75.5,69.8
56,96.6,87.5,88.7,78.3
57,98.6,75.6,93.5,52.9
58,64.4,87.8,81.3,61.7
59,78.8,92.8,52.6,76.2
60,88.0,58.7,95.0,50.5
61,94.0,88.2,78.2,70.9
62,92.3,63.6,95.9,68.0
63,88.0,76.7,69.1,90.8
64,52.7,55.4,85.3,53.3
65,55.0,55.7,70.9,75.9
66,57.1,50.2,71.8,64.7
67,60.7,51.9,98.5,74.1
68,84.3,59.5,70.1,67.9
69,70.8,79.5,62.5,93.7
70,64.8,53.3,72.1,87.9
71,75.3,81.2,91.7,65.7
72,80.9,93.1,56.5,92.4
73,66.3,96.6,76.9,51.4
74,69.1,94.9,97.3,75.8
75,63.5,85.1,62.4,65.2
76,60.7,84.8,52.7,85.7
77,71.2,89.6,50.7,71.9
78,79.9,76.9,83.6,78.6
79,84.5,95.6,74.5,92.6
80,96.9,62.2,64.1,51.7
81,91.1,84.8,71.9,80.2
82,99.0,73.8,96.7,89.3
83,51.8,89.3,78.8,73.5
84,65.7,68.6,91.2,86.7
85,97.7,62.1,78.8,84.3
86,85.6,82.9,90.8,88.2
87,88.4,97.5,93.6,65.1
88,55.4,69.7,64.5,95.7
89,78.4,86.9,82.1,62.9
90,69.4,82.5,52.8,53.2
91,96.5,62.1,84.4,56.5
92,52.4,93.5,75.9,63.9
93,84.0,58.0,63.1,69.4
94,62.5,59.4,65.1,81.1
95,74.3,72.0,82.9,71.1
96,51.5,66.2,99.0,92.7
97,65.7,61.5,69.2,58.8
98,92.0,56.9,68.3,63.2
99,77.6,53.4,66.2,78.0
100,55.8,63.1,83.6,74.9
101,57.8,95.2,59.2,77.6
102,91.6,71.1,96.2,61.6
103,85.8,78.1,91.0,59.3
104,69.4,50.3,68.8,59.0
105,95.4,66.4,74.8,70.9
106,60.7,53.1,90.8,65.7
107,80.6,53.8,82.1,94.7
108,86.3,67.7,59.6,69.0
109,61.1,75.9,57.9,72.6
110,93.0,62.1,78.2,66.8
111,89.4,63.3,66.9,74.2
112,78.1,65.8,84.8,80.8
113,70.4,80.1,59.8,55.9
114,91.1,73.4,88.7,78.6
115,53.5,68.1,69.3,96.6
116,78.9,90.2,56.9,89.0
117,70.9,51.0,89.4,90.6
118,67.9,99.0,73.4,59.2
119,77.1,64.4,75.1,65.9
120,76.4,75.8,91.2,87.4
121,81.0,85.3,80.6,70.2
122,54.4,99.1,56.1,70.5
123,86.0,89.9,62.1,71.2
124,79.1,52.4,78.5,99.9
125,88.6,51.2,88.9,82.5
126,83.2,85.9,77.8,87.0
127,67.2,96.8,61.6,86.3
128,94.4,61.9,87.4,73.4
129,92.8,77.9,70.2,70.1
130,81.1,81.9,84.2,83.5
131,54.8,54.1,62.0,68.4
132,92.1,73.4,64.5,51.6
133,99.7,55.4,94.4,56.3
134,59.6,51.8,63.9,69.3
135,97.8,68.7,90.9,80.3
136,98.5,54.8,67.0,90.8
137,83.5,99.7,98.0,80.7
138,73.9,83.9,62.2,57.0
139,73.6,62.6,95.1,83.4
140,63.5,51.5,89.7,65.1
141,92.9,56.9,93.0,69.1
142,87.7,72.5,62.0,76.4
143,74.0,98.0,54.6,78.5
144,54.2,66.3,69.9,95.0
145,83.3,61.1,95.8,99.4
146,50.8,71.4,52.6,56.0
147,68.5,78.6,67.2,58.0
148,55.7,83.6,99.6,90.8
149,84.3,76.2,82.6,72.2
150,62.0,58.7,98.4,93.2
151,67.5,62.6,63.7,71.7
152,58.2,68.4,86.9,98.8
153,85.5,84.1,60.5,63.8
154,89.1,66.2,58.1,74.2
155,50.0,95.6,85.0,60.1
156,95.8,81.8,87.5,67.0
157,78.4,58.9,71.7,90.1
158,59.0,67.9,95.3,79.6
159,58.0,90.1,58.8,77.5
160,71.8,60.0,77.5,81.4
161,53.7,84.2,51.1,92.1
162,98.7,89.8,84.0,84.0
163,74.7,55.4,78.9,92.0
164,56.4,86.7,73.6,89.5
165,99.0,66.0,55.4,69.4
166,98.4,87.3,67.4,73.3
167,74.4,80.4,75.5,59.9
168,67.9,80.1,89.6,77.4
169,93.4,90.2,72.1,76.5
170,86.4,88.3,71.1,64.9
171,56.4,83.2,57.2,69.3
172,72.0,62.7,58.0,77.7
173,51.7,97.8,76.5,56.5
174,89.6,54.0,77.5,76.4
175,96.7,76.7,98.0,52.8
176,54.9,90.0,76.7,76.3
177,82.3,98.8,71.6,75.2
178,68.2,94.5,73.1,57.2
179,51.4,53.7,84.9,68.9
180,90.2,74.9,65.2,58.4
181,91.6,86.8,69.4,90.7
182,94.3,69.4,93.5,96.0
183,69.8,62.9,75.4,55.3
184,77.0,98.5,53.6,95.8
185,72.2,77.1,87.0,91.0
186,82.4,77.4,55.6,82.5
187,77.7,63.3,72.3,63.6
188,90.6,62.1,99.3,82.5
189,96.7,55.5,75.1,61.5
190,99.6,59.2,98.8,76.9
191,74.5,71.0,78.1,77.6
192,50.1,51.1,60.4,94.6
193,61.2,58.7,51.9,50.8
194,83.1,98.7,66.0,95.2
195,53.2,94.0,70.8,93.5
196,88.5,91.1,62.1,88.7
197,51.2,98.2,67.8,60.0
198,54.1,92.1,99.6,74.4
199,66.7,95.0,86.1,59.3
200,90.9,92.6,67.3,87.2
201,88.1,51.5,95.8,77.9
202,56.6,69.7,95.9,78.8
203,50.7,74.8,87.0,81.0
204,56.1,79.1,81.2,63.4
205,72.9,70.5,53.0,79.1
206,58.0,77.9,63.1,81.3
207,83.0,77.6,60.9,71.8
208,65.3,58.2,55.7,96.8
209,97.2,85.9,54.5,60.1
210,93.5,51.6,61.7,59.5
211,55.2,93.0,96.2,88.9
212,50.2,80.5,72.3,85.7
213,60.3,53.3,95.6,86.9
214,58.9,69.6,71.9,69.2
215,94.1,65.1,74.9,69.0
216,99.1,90.3,68.9,75.2
217,90.4,75.6,50.2,88.5
218,58.1,98.6,91.0,96.6
219,78.9,66.7,77.9,74.3
220,72.9,90.3,97.0,62.4
221,75.4,88.2,93.5,72.7
222,88.0,59.5,81.4,87.6
223,57.7,51.5,86.0,82.9
224,64.9,64.3,68.3,70.6
225,68.0,78.8,73.0,51.6
226,63.9,87.2,65.6,99.0
227,93.0,86.8,52.7,57.7
228,90.6,90.2,56.6,56.4
229,99.9,71.9,67.4,84.7
230,81.1,84.2,78.6,75.6
231,84.0,53.3,82.2,77.2
232,86.3,59.3,64.3,63.5
233,98.2,80.0,73.7,61.2
234,89.6,65.3,75.3,79.3
235,52.8,52.5,62.2,53.2
236,70.8,87.8,84.9,60.1
237,68.3,58.5,72.2,53.9
238,73.0,61.5,74.4,87.8
239,91.6,81.0,73.0,93.4
240,68.5,91.0,58.7,95.8
241,70.7,75.8,95.5,83.0
242,70.5,89.0,54.9,85.0
243,57.3,90.2,91.7,61.3
244,82.1,50.8,64.2,64.1
245,51.3,88.8,88.3,86.1
246,64.3,81.2,78.7,86.7
247,80.6,94.1,60.0,77.3
248,54.7,64.2,74.8,94.8
249,97.3,63.4,88.9,91.1
250,83.4,98.4,94.3,76.9
251,56.8,62.1,94.9,52.6
252,99.8,74.9,69.9,78.6
253,80.5,50.5,62.1,76.8
254,96.5,74.2,98.2,59.5
255,84.9,73.3,57.4,71.6
256,88.4,69.6,84.3,58.4
257,99.4,62.8,66.7,79.1
258,79.0,55.2,71.2,89.7
259,66.1,74.7,78.3,85.2
260,61.9,64.4,84.6,66.6
261,68.4,83.9,90.8,73.5
262,75.0,80.0,97.5,79.1
263,96.5,79.1,54.6,95.8
264,98.7,61.9,57.4,68.7
265,63.7,50.4,87.8,85.0
266,74.9,56.6,65.2,73.2
267,52.6,67.1,53.5,88.5
268,67.3,72.9,82.2,89.1
269,59.7,63.4,63.6,58.1
270,65.4,78.0,78.5,72.1
271,90.9,50.6,64.5,95.7
272,60.1,89.7,72.3,97.6
273,95.0,66.0,87.3,58.3
274,76.0,75.3,72.3,72.6
275,75.3,89.9,89.5,67.3
276,71.5,55.1,93.7,79.7
277,53.1,54.9,74.5,59.7
278,88.3,59.0,89.5,68.0
279,75.1,87.8,72.2,95.9
280,51.4,65.4,65.0,54.0
281,71.2,72.8,73.2,68.1
282,79.9,85.0,52.3,84.2
283,73.6,76.5,83.7,58.2
284,87.9,83.2,59.1,57.8
285,63.4,66.4,95.0,99.1
286,55.3,59.3,77.4,58.8
287,80.6,54.0,66.4,72.3
288,70.6,58.7,77.1,95.4
289,69.1,89.8,80.1,81.0
290,91.0,88.9,100.0,62.5
291,93.6,60.2,59.4,52.9
292,68.2,78.8,98.4,53.2
293,95.3,90.6,60.9,64.7
294,66.4,92.6,83.8,50.0
295,70.6,60.1,52.6,51.0
296,50.4,97.1,66.1,77.6
297,95.8,56.1,68.8,58.2
298,85.1,93.3,60.2,89.6
299,86.6,63.6,97.2,75.9
300,99.5,80.4,92.8,69.8
301,75.3,96.8,55.6,75.3
302,75.1,86.4,67.1,92.4
303,87.4,73.9,65.7,84.8
304,88.5,90.2,56.1,82.4
305,80.2,62.8,91.3,64.0
306,65.0,91.2,79.2,90.3
307,78.4,58.2,86.0,70.3
308,57.6,60.3,72.9,94.2
309,75.9,59.2,93.2,63.9
310,73.4,57.1,73.0,73.9
311,89.4,92.4,62.6,59.2
312,81.8,91.9,90.7,97.9
313,58.3,77.1,74.7,88.3
314,79.3,84.6,99.8,76.4
315,87.4,71.7,68.7,57.6
316,68.7,95.6,67.1,67.4
317,60.6,95.7,92.1,78.2
318,95.1,87.7,51.3,80.1
319,96.7,95.3,60.9,63.0
320,57.4,52.6,57.7,98.1
321,90.4,50.4,62.7,79.9
322,52.0,67.6,55.5,59.1
323,79.4,81.7,53.3,89.4
324,93.9,58.6,93.5,80.4
325,62.7,96.3,66.0,93.3
326,50.4,96.5,60.7,56.7
327,55.7,64.2,79.3,56.6
328,84.9,72.2,89.9,69.9
329,57.4,55.9,67.0,99.5
330,59.2,58.3,62.1,93.6
331,64.1,72.3,50.2,80.8
332,93.9,73.1,60.8,71.1
333,67.7,67.2,53.2,90.2
334,97.5,94.3,85.3,87.9
335,50.8,76.4,93.6,92.7
336,87.8,53.7,88.3,90.0
337,99.8,56.4,92.9,86.4
338,53.4,68.8,71.6,97.6
339,89.3,81.0,53.6,89.9
340,92.1,55.2,83.7,69.5
341,78.2,66.1,93.6,67.7
342,96.3,70.6,77.9,86.9
343,99.2,67.3,71.5,76.7
344,84.8,72.7,83.5,86.9
345,73.4,94.3,86.3,61.6
346,50.9,99.6,63.6,78.2
347,78.5,66.9,80.1,50.4
348,91.9,87.4,61.3,88.7
349,86.8,98.9,61.6,90.4
350,54.9,73.0,81.2,90.1
351,77.2,96.4,84.1,91.6
352,63.1,96.1,71.1,94.2
353,80.9,95.1,53.7,84.8
354,56.6,96.4,53.4,85.3
355,77.6,52.3,80.2,66.8
356,77.8,88.5,74.4,78.7
357,80.0,83.6,59.8,82.4
358,73.5,53.1,66.2,87.8
359,65.5,60.0,81.9,51.0
360,76.4,89.4,85.1,72.6
361,64.2,67.5,70.0,57.2
362,70.5,57.9,57.7,52.1
363,52.4,72.8,60.2,61.9
364,82.0,58.0,68.8,94.2
365,68.6,97.8,93.6,70.3
366,51.9,54.6,66.5,68.0
367,73.0,85.5,94.6,88.4
368,80.5,85.1,50.8,81.9
369,67.1,85.0,85.8,95.1
370,85.1,82.4,70.3,96.1
371,94.5,87.3,57.1,75.8
372,56.4,77.2,54.3,74.4
373,63.8,74.8,73.4,85.5
374,57.2,87.0,55.3,69.7
375,69.1,75.4,84.8,76.6
376,80.8,67.6,67.2,55.9
377,54.4,56.3,74.9,83.7
378,52.8,72.5,90.5,73.5
379,60.6,71.0,59.6,62.2
380,87.6,56.7,94.2,66.8
381,53.9,60.4,81.4,66.0
382,79.3,92.3,81.1,52.7
383,68.7,86.1,58.1,67.7
384,83.4,57.1,81.7,75.0
385,96.5,67.9,78.6,67.1
386,76.4,51.5,96.0,91.0
387,98.1,90.8,63.4,90.1
388,60.9,72.9,84.4,89.3
389,83.7,97.4,61.9,72.3
390,97.8,76.5,66.1,74.3
391,56.1,83.4,92.6,88.2
392,53.7,52.7,79.8,68.4
393,85.8,95.3,87.1,74.6
394,72.1,77.5,96.8,58.4
395,70.6,51.2,79.0,72.0
396,51.1,76.5,76.8,91.9
397,76.7,93.6,78.1,55.3
398,89.8,58.1,61.6,91.9
399,64.8,59.5,85.9,91.0
400,66.9,95.3,99.0,69.8
401,78.5,66.6,82.2,76.2
402,83.0,70.3,55.2,82.4
403,95.4,88.6,62.4,68.4
404,95.8,57.4,61.7,55.6
405,79.0,81.2,86.5,96.1
406,69.0,80.2,70.1,71.6
407,87.5,72.9,54.7,67.4
408,99.8,65.7,78.9,87.3
409,97.8,88.2,62.2,72.3
410,80.0,73.8,93.6,58.8
411,86.4,77.5,94.6,93.9
412,95.5,56.1,69.9,74.9
413,58.8,82.3,63.7,67.3
414,99.1,89.4,57.5,52.4
415,69.8,83.9,84.2,54.2
416,63.1,62.3,66.4,55.5
417,77.4,83.6,81.0,59.6
418,97.7,50.2,74.4,74.4
419,99.9,71.7,55.6,79.8
420,60.6,69.0,57.5,68.8
421,62.5,76.2,67.4,80.3
422,81.0,83.2,55.6,70.1
423,59.0,70.0,53.8,85.1
424,84.7,89.7,86.9,82.4
425,78.9,82.3,84.8,60.8
426,98.1,98.4,70.1,59.6
427,91.6,54.1,74.8,79.8
428,99.5,58.9,76.7,73.7
429,55.3,85.2,92.5,56.8
430,69.6,76.3,75.4,62.5
431,74.7,53.9,69.8,81.4
432,79.1,96.3,80.8,66.0
433,52.0,76.5,69.4,83.7
434,85.1,85.1,54.4,68.2
435,78.7,56.3,57.4,52.3
436,54.5,87.3,72.4,86.6
437,61.4,93.9,95.7,72.4
438,94.6,88.5,56.3,92.1
439,92.1,77.9,67.5,82.8
440,53.9,75.8,91.9,62.8
441,52.4,72.4,84.5,81.8
442,68.8,73.9,82.5,81.3
443,60.3,77.7,88.8,90.5
444,88.0,66.5,69.7,50.4
445,88.9,70.8,55.1,87.7
446,84.6,98.8,86.9,71.9
447,93.5,77.9,90.6,79.0
448,58.9,63.1,93.7,77.3
449,77.7,99.1,75.4,59.9
450,79.2,73.7,78.9,65.9
451,65.6,56.5,84.4,65.2
452,65.1,91.4,97.3,70.3
453,96.0,85.7,87.6,50.4
454,94.2,95.3,55.1,68.8
455,96.5,66.4,68.0,65.8
456,96.7,93.9,50.7,96.2
457,63.6,98.1,77.8,90.7
458,99.3,92.1,88.5,98.9
459,70.4,72.7,52.1,99.7
460,58.5,83.6,67.5,67.2
461,78.7,88.0,52.4,54.9
462,87.5,66.0,87.2,87.9
463,73.4,95.9,63.2,70.9
464,66.1,93.4,85.6,83.6
465,67.0,71.2,54.6,84.5
466,77.4,94.2,92.3,51.2
467,59.6,66.1,55.5,76.9
468,59.8,92.3,83.6,87.5
469,66.3,95.1,61.6,95.0
470,70.7,97.5,72.7,95.4
471,83.6,62.9,80.3,57.2
472,80.5,60.6,64.5,99.6
473,57.3,90.7,90.7,58.8
474,96.8,64.6,65.2,68.3
475,96.0,58.2,90.5,78.5
476,75.8,54.9,83.5,71.9
477,60.3,55.4,87.4,72.3
478,52.2,99.5,89.8,74.8
479,57.3,51.3,87.8,71.4
480,60.5,60.3,62.6,53.0
481,57.0,64.4,52.5,60.0
482,51.0,71.8,77.0,61.8
483,50.4,57.8,82.7,82.8
484,71.5,97.6,96.6,52.9
485,70.1,71.1,69.0,66.1
486,94.4,76.9,99.6,51.7
487,87.9,90.4,51.8,83.3
488,60.4,79.6,93.7,59.0
489,53.3,82.3,51.2,67.4
490,86.9,95.0,82.2,99.5
491,69.1,76.9,91.2,79.1
492,51.5,68.3,74.7,59.8
493,72.9,76.2,87.9,86.0
494,94.7,97.5,58.0,67.6
495,80.9,95.4,65.4,75.5
496,84.5,66.2,87.9,88.1
497,75.2,72.8,94.1,84.6
498,92.5,88.6,55.5,95.4
499,82.2,58.6,58.9,81.0
500,82.9,87.9,50.4,63.4
